video_id,video_title,num_chapters,transcript_length
9vkkJ4tC4SQ,iOS App Store Submission Tutorial,25,77376
H-oCV5brtU4,Intro to Fine-Tuning Large Language Models,24,139998
YtHdaXuOAks,Guide to Agentic AI – Build a Python Coding Agent with Gemini,27,146828
tPkJLnDqAKk,JavaScript Tutorial with Three.js – 5 Projects for Beginners,56,70299
u43gJJrVa1I,Professional Cloud Architect Certification Course – Pass the Exam!,14,1164643
Q5U-b6gRTaY,Computer Vision with Arduino Tutorial – 2 Projects,23,143534
1AX7_aPWmbE,Checkmate Patterns for Beginners – Full Chess Tutorial,15,43375
9tANiA0LKn4,Building an AI-Powered E-commerce Chat Assistant with MongoDB – Tutorial,9,95442
Jaj_SQsF-BI,LLM from Scratch Tutorial – Code & Train Qwen 3,19,60809
16emGG-guIo,From drop-out to backpacker to self-taught developer with Dominick Monaco [Podcast #183],25,97888
qYk_BqGHXEg,Next.js Caching & Rendering Tutorial – Full Course for Beginners,27,115498
JfiWi8RjN-8,DevSecOps Course for Beginners – API Security,19,153405
N0K0m7dZBJI,Abandoning med school to become a software engineer with Edidiong Asikpo [Podcast #182],16,94282
fxx_E0ojKrc,Time Series Forecasting in Python – Tutorial for Beginners,15,102498
OlAmyf8_4O4,Google Cloud Associate Cloud Engineer Course [2025] - Pass the Exam!,13,855915
IJ85kCdqWao,React Course for Beginners w/ Tailwind CSS [2025],27,360603
C7UI_4jIGSQ,Senior Playstation Engineer's tips for learning new tools and getting things done [Podcast #184],10,104775
ku6HZ_k9qgY,Why Algorithms Work – Algorithm Analysis Deep Dive Course,12,379073
vT5pcc30Ffw,Technical Writing Course for Beginners,12,72870
m7nkioXNiik,How to turn Open Source into a Job with Nick Taylor [Podcast #181],22,108073
HaUe2AN210g,"Enterprise AI Tutorial – Embeddings, RAG, and Multimodal Agents Using Amazon Nova and Bedrock",11,331332
ZvZ7gvcmPmI,Learn TypeScript – Crash Course for Beginners,64,57268
